ID,t0,t,x,y,z,FI,TL
8988,61,68,320.46616,257.61774,38.644703,254.1,37
8988,61,69,320.75012,257.32465,37.97627,267.0,37
8988,61,70,320.22302,257.8349,37.966293,258.5,37
8988,61,71,320.42386,258.14774,38.779152,257.2,37
8988,61,72,319.87527,258.18637,38.303364,310.2,37
8988,61,73,320.2213,257.4643,37.893364,270.5,37
8988,61,74,320.05484,257.5339,37.611023,291.0,37
8988,61,75,319.7727,257.99255,37.382095,248.2,37
8988,61,76,320.01932,257.874,37.402077,290.8,37
8988,61,77,319.59836,258.1017,37.910522,270.8,37
8988,61,78,319.40918,258.51218,37.844864,298.0,37
8988,61,79,319.64075,258.72876,37.6132,283.8,37
8988,61,80,319.42404,258.7022,37.868137,292.0,37
8988,61,81,319.62466,258.6067,37.598534,308.8,37
8988,61,82,319.9319,258.35162,37.543995,276.0,37
8988,61,83,319.1212,258.08353,37.15272,257.2,37
8988,61,84,319.5051,258.17374,37.85286,274.0,37
8988,61,85,318.55255,257.90494,36.55706,291.2,37
8988,61,86,318.53513,257.61136,36.410347,307.8,37
8988,61,87,318.93594,258.2616,36.81667,336.8,37
8988,61,88,318.96768,258.26477,36.49004,299.0,37
8988,61,89,318.70404,258.2072,36.575348,310.5,37
8988,61,90,318.83417,258.34912,36.862637,276.5,37
8988,61,91,319.2543,258.80823,36.99153,318.5,37
8988,61,92,319.0453,258.9498,36.64902,269.8,37
8988,61,93,319.13776,259.15076,36.625725,253.6,37
8988,61,95,318.0845,259.37485,37.283405,223.8,37
8988,61,97,317.27557,260.23193,35.297607,234.9,37
8988,61,98,317.6401,259.4605,35.502426,245.0,37
8988,61,99,316.49756,259.99866,34.999817,208.6,37
75,1,1,330.0342,522.6383,8.167529,402.8,36
75,1,2,330.74658,523.0011,8.723631,393.8,36
75,1,3,330.4093,523.0085,9.501519,398.2,36
75,1,4,330.10297,523.69434,9.365111,376.5,36
75,1,5,330.02734,523.86383,10.001919,381.2,36
75,1,6,329.88663,524.3427,10.321899,383.8,36
75,1,7,329.46393,524.6079,10.462372,365.2,36
75,1,8,329.13467,525.3075,10.760549,393.0,36
75,1,9,329.31808,525.81464,12.045325,354.2,36
75,1,10,329.23587,525.88794,11.575296,397.8,36
75,1,11,329.1213,525.9375,10.981968,358.2,36
75,1,12,329.31604,525.6864,11.532931,398.5,36
75,1,13,328.78903,526.0471,11.559344,358.5,36
75,1,14,329.13644,526.3476,11.35274,373.5,36
75,1,15,328.9686,526.1429,11.234831,359.5,36
75,1,16,329.43518,525.8597,12.257925,354.8,36
75,1,17,329.05466,525.7886,12.124631,369.8,36
75,1,18,328.87634,526.1744,9.620729,380.8,36
75,1,34,328.1976,525.41345,30.378561,297.5,36
75,1,37,329.99265,528.2028,32.28424,286.2,36
75,1,38,329.32684,529.9984,31.675413,278.2,36
75,1,56,334.43008,526.8032,15.2040205,263.8,36
75,1,57,333.85745,527.08276,15.5692835,256.5,36
75,1,58,333.7511,527.3952,15.354509,256.5,36
75,1,59,334.03442,527.5721,14.842367,263.8,36
75,1,60,333.53436,527.8596,14.594525,258.0,36
75,1,61,333.55893,528.75476,14.879316,283.2,36
75,1,62,333.38086,529.1215,14.087312,275.0,36
75,1,63,333.3948,529.66003,14.485041,264.2,36
75,1,64,332.57166,529.1195,15.076264,278.2,36
75,1,65,332.4442,529.4366,14.387956,250.6,36
75,1,66,332.1288,529.67145,14.183882,250.8,36
75,1,67,332.0216,529.7428,14.091513,280.0,36
75,1,68,331.82828,530.04376,14.874136,272.5,36
75,1,69,331.50223,529.7277,15.181189,302.5,36
75,1,70,331.55212,530.76306,13.340903,249.5,36
91,1,1,297.6501,354.99847,7.334689,493.2,36
91,1,2,297.75177,356.20743,7.7445283,504.0,36
91,1,3,299.9481,355.29938,8.134625,483.8,36
91,1,4,298.0973,355.00427,7.3296285,474.2,36
91,1,5,298.98013,355.54562,8.527319,465.8,36
91,1,6,298.91415,355.2349,7.090258,387.0,36
91,1,7,299.11774,351.07446,7.4043317,442.0,36
91,1,8,299.31693,350.68503,7.5572443,396.0,36
91,1,9,299.29907,351.33853,7.5177817,366.0,36
91,1,10,298.17725,350.81363,8.800907,372.8,36
91,1,13,294.94562,349.84607,11.753289,345.5,36
91,1,14,292.1734,350.83304,14.206394,458.2,36
91,1,15,292.49384,350.4152,14.721066,395.8,36
91,1,16,292.08847,349.6844,14.576768,448.0,36
91,1,17,291.83905,349.4967,14.878335,426.0,36
91,1,18,291.73334,349.8888,14.427986,425.8,36
91,1,19,291.63358,349.2717,13.534085,394.8,36
91,1,20,291.6208,349.3511,14.023557,406.5,36
91,1,21,291.96606,348.9671,13.657884,335.2,36
91,1,22,292.23718,349.5137,13.261303,252.6,36
91,1,55,309.6789,348.18616,8.054979,271.0,36
91,1,59,317.4878,345.57104,10.834174,286.8,36
91,1,60,317.41312,346.10315,9.987513,299.0,36
91,1,61,317.47287,345.86166,10.386784,282.0,36
91,1,62,317.8652,346.06866,10.640669,283.2,36
91,1,63,318.62903,346.08936,10.414693,281.8,36
91,1,64,317.90854,344.954,10.614686,286.2,36
91,1,65,318.04095,345.15277,10.322399,317.2,36
91,1,66,318.30667,345.15628,10.220045,299.0,36
91,1,67,317.622,345.33752,9.794004,316.8,36
91,1,68,318.06598,345.53653,10.038941,320.2,36
91,1,69,318.56836,345.61395,11.001966,309.2,36
91,1,70,318.1512,345.8087,10.693938,309.0,36
91,1,71,318.93582,345.19086,10.446395,275.8,36
91,1,72,318.28964,345.88245,10.158262,309.0,36
91,1,73,318.64532,345.7039,10.662648,245.6,36
126,1,1,301.2646,455.28983,11.315134,620.0,36
126,1,2,301.51288,455.37335,11.181289,639.5,36
126,1,3,301.5485,454.82806,10.932081,580.0,36
126,1,4,301.07596,455.21945,11.597065,520.5,36
126,1,5,301.20596,455.04178,11.56905,552.0,36
126,1,6,301.12973,454.65494,11.532122,535.5,36
126,1,7,300.62048,453.92422,11.841752,521.5,36
126,1,8,300.80576,454.28278,11.919029,507.5,36
126,1,9,300.87134,454.19885,11.930543,530.0,36
126,1,10,300.69232,453.75293,11.4548025,506.0,36
126,1,11,300.911,453.81067,11.085274,521.5,36
126,1,12,301.07217,453.22202,11.427917,507.8,36
126,1,13,300.8034,453.35138,10.98053,444.2,36
126,1,14,301.27728,453.08182,11.262942,584.5,36
126,1,15,301.41653,452.37512,11.372948,512.0,36
126,1,16,301.3332,452.04077,11.129518,561.0,36
126,1,17,301.23157,451.55414,11.285435,581.0,36
126,1,18,301.41107,451.60596,10.997367,565.0,36
126,1,19,301.3645,450.56412,10.426336,553.5,36
126,1,20,301.90207,449.94678,10.768882,543.0,36
126,1,21,301.80887,449.09302,10.76592,551.5,36
126,1,22,301.55417,448.40298,10.323346,517.0,36
126,1,23,301.04977,448.20157,11.920516,457.5,36
126,1,25,300.95483,447.61356,11.660468,448.5,36
126,1,26,301.40326,444.04828,10.911536,389.5,36
126,1,27,301.22922,443.55313,11.160061,329.2,36
126,1,28,300.41266,443.3819,12.207844,354.2,36
126,1,29,301.83237,443.36713,10.901374,414.8,36
126,1,30,301.26474,442.47473,10.472547,396.2,36
126,1,31,301.4137,442.52356,10.77736,370.8,36
126,1,32,301.08228,446.27512,11.951318,374.5,36
126,1,33,300.3589,445.33206,9.442592,370.5,36
126,1,34,301.56723,447.22827,10.876964,352.2,36
126,1,37,302.3021,447.68942,11.352642,372.5,36
126,1,38,303.71268,448.2353,12.319708,359.0,36
126,1,39,302.17172,448.10995,12.983113,358.2,36
148,1,1,407.89496,493.98224,14.542624,384.8,36
148,1,2,409.31976,493.2027,15.031069,408.2,36
148,1,52,408.22208,536.67944,26.36718,277.8,36
148,1,53,407.0225,537.6423,25.181526,294.2,36
148,1,54,406.34506,538.5661,25.225256,289.2,36
148,1,55,406.23425,540.4164,24.314806,312.2,36
148,1,56,405.60773,542.02655,25.216112,358.2,36
148,1,57,404.81323,542.2384,24.48007,293.0,36
148,1,58,404.7507,542.55597,24.781755,316.2,36
148,1,59,405.39255,543.29004,24.367054,331.2,36
148,1,60,404.5287,544.0721,25.011915,272.2,36
148,1,61,405.74155,544.90314,23.588188,270.8,36
148,1,63,406.46326,547.5128,24.3468,247.0,36
148,1,64,405.99588,545.99445,25.999737,195.6,36
148,1,65,405.12112,547.4291,25.423769,255.0,36
148,1,66,406.16092,548.4767,25.049696,251.2,36
148,1,67,405.71964,549.13104,25.257998,284.5,36
148,1,68,405.48407,550.14526,24.57666,282.8,36
148,1,69,404.76764,551.08514,23.562883,272.5,36
148,1,70,404.86072,552.6188,25.050774,289.8,36
148,1,71,405.94705,553.4275,25.569813,291.2,36
